speech_giver,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18,term19,term20,term21,term22,term23,term24,term25,term26,term27
Arzu Erdem,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi
Asaf Süleyman Doras,,Cumhuriyet Halk PartisiHakkâriMilletvekili3. DönemCumhuriyet Halk Partisi,Cumhuriyet Halk PartisiHakkâriMilletvekili3. DönemCumhuriyet Halk Partisi,Cumhuriyet Halk PartisiHakkâriMilletvekili3. DönemCumhuriyet Halk Partisi,Cumhuriyet Halk PartisiHakkâriMilletvekili3. DönemCumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Asiye Kolçak,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,,
Aslan Ali Hatipoğlu,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,
Aslan Polat,,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,,,
Aslan Savaşan,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,
Asuman Erdoğan,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Asım Aykan,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Asım Doğanay,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Asım Eren,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Asım Gündüz,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,
Asım Kaleli,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Asım Möhördaroğlu,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Asım Sirel,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Asım Tümer,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Asım Vasfi Möhördaroğlu,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Asım Yılmaz,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Ata Bodur,,,,,,,,,,,,Yeni Türkiye Partisi,Yeni Türkiye Partisi,Yeni Türkiye Partisi,Yeni Türkiye Partisi,,,,,,,,,,,,
Ata Topaloğlu,,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,
Ataullah Atay,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Ataullah Hamidi,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,Anavatan Partisi,
Ataullah Zafer Gökçer,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Atay Uslu,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Atila Emek,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,
Atila Hun,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,
Atila Kaya,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,
Atilla Başoğlu,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,
Atilla Kart,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,
Atilla Koç,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Atilla Mutman,,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,Sosyaldemokrat Halkçı Parti,,,,,,
Atilla Sertel,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Atilla Sın,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Atilla Vehbi Konuk,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Atilla Ödünç,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Atilla İmamoğlu,,,,,,,,,,,,,,Adalet Partisi,,,,Adalet Partisi,,,,,,,,,
Atillâ Atilâ,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Atıf Akgüç,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Atıf Bayındır,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Atıf Kamçıl,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Atıf Topaloğlu,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Avni Akkan,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Avni Akyol,,,,,,,,,,,,,,,,Adalet Partisi,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,
Avni Doğan,,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,Refah Partisi,Refah Partisi,,,,
Avni Erdemir,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Avni Gürsoy,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Avni Karaman,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Avni Refik Berkman,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Avram Galanti Bodrumlu,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Aycan Çakıroğulları,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Aycan İrmez,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,Halkların Demokratik Partisi,
Aydın Adnan Sezgin,,,,,,,,,,,,,,,,,,,,,,,,,,,İyi Parti
Aydın Ağan Ayaydın,,,,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,Anavatan Partisi,,,
Aydın Baran,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,,
Aydın Bıyıklıoğlu,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Aydın Gökmen,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Aydın Güven Gürkan,,,,,,,,,,,,,,,,,Halkçı Parti,,Halkçı Parti,Halkçı Parti,,,,,,,
Aydın Menderes,,,,,,,,,,,,,,,,Adalet Partisi,,,,Adalet Partisi,Adalet Partisi,,,,,,
Aydın Turgut Artuç,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Aydın Tümen,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,Demokratik Sol Parti,,,,,,
Aydın Uslupehlivan,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,
Aydın Yalçın,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,
Aydın Özcan,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Aydın Özer,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Aydın Ünal,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Aydın Şengül,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Ayetullah Sayar,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ayfer Yılmaz,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,
Ayhan Altuğ,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Ayhan Altıntaş,,,,,,,,,,,,,,,,,,,,,,,,,,,İyi Parti
Ayhan Arifağaoğlu,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Ayhan Barut,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Ayhan Bilgen,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,Halkların Demokratik Partisi,Halkların Demokratik Partisi
Ayhan Erel,,,,,,,,,,,,,,,,,,,,,,,,,,,İyi Parti
Ayhan Fırat,,,,,,,,,,,,,,,,,Halkçı Parti,,,Halkçı Parti,,,,,,,
Ayhan Gider,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,
Ayhan Gürel,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,,
Ayhan Reyhan Sakallıoğlu,,,,,,,,,,,,,,,,,Milliyetçi Demokrasi Partisi,Milliyetçi Demokrasi Partisi,,,,,,,,,
Ayhan Sefer Üstün,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,Adalet ve Kalkınma Partisi,
Ayhan Uysal,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Ayhan Yılmaz,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,Adalet ve Kalkınma Partisi,,
Ayhan Zeynep Tekin Börü,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Ayhan Çevik,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Aykan Erdemir,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Aykut Edibali,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,,
Aykut Erdoğdu,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Ayla Akat Ata,,,,,,,,,,,,,,,,,,,,,,,Bağımsız,Bağımsız,,,
Aylin Cesur,,,,,,,,,,,,,,,,,,,,,,,,,,,İyi Parti
Aylin Nazlıaka,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,
Aysel Tuğluk,,,,,,,,,,,,,,,,,,,,,,,Bağımsız,Bağımsız,,,
Aysel Uğural,,,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,
Aysu Bankoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Aytekin Kotil,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,,
Aytun Çıray,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Aytuğ Atıcı,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,
Ayvaz Gökdemir,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,
Ayşe Acar Başaran,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,Halkların Demokratik Partisi,Halkların Demokratik Partisi
Ayşe Akbaş,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Ayşe Aliye Köksal,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Ayşe Doğan,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Ayşe Eser Danışoğlu,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,
Ayşe Gülsün Bilgehan,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,
Ayşe Günel,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Ayşe Gürocak,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,
Ayşe Jale Ağırbaş,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,
Ayşe Keşir,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Ayşe Meliha Ulaş,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Ayşe Nazlı Ilıcak,,,,,,,,,,,,,,,,,,,,,Fazilet Partisi,,,,,,
Ayşe Nur Bahçekapılı,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Ayşe Sabiha Erbay Gökçül,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Ayşe Seniha Hızal,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Ayşe Sibel Ersoy,,,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi
Ayşe Sula Köseoğlu,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,
Ayşe Sürücü,,,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi
Ayşe Türkmenoğlu,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,
Ayşenur Külahlıoğlu İslam,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Ayşenur İslam,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,
Azimet Köylüoğlu,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,Cumhuriyet Halk Partisi,,,,,,,,
Aziz Akgül,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,,
Aziz Akyürek,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Aziz Aydınlık,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Aziz Babuşcu,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Aziz Bülent Öncel,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Aziz Duru,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Aziz Gökkan,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Aziz Işık,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Aziz Kaygısız,,,,,,,,,,,,,,,,,Milliyetçi Demokrasi Partisi,,,,,,,,,,
Aziz Köksal,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,,
Aziz Perkün,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Aziz Zekâi Apaydın,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Aziz Zeytinoğlu,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,,
Aziz İhsan Tav,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,
Aziz İlter,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Azize Sibel Gönül,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Azmi Ateş,,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,Refah Partisi,,,,,
Azmi Ekinci,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,
Azmi Yavuzalp,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,
Ağah Kafkas,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,,,
Aşirpaşa Atlı,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Aşkın Asan,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Baha Hun,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Baha Müderrisoğlu,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Baha Ünlü,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Bahaddin Elçi,,,,,,,,,,,,,,,,,,,Refah Partisi,,,,,,,,
Bahaddin Kökdemir,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Bahar Ayvazoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Bahattin Alagöz,,,,,,,,,,,,,,,,,,,Sosyaldemokrat Halkçı Parti,,,,,,,,
Bahattin Erdem,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Bahattin Karakoç,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,
Bahattin Uzunoğlu,,,,,,,,,,,,,Millet Partisi,Millet Partisi,,,,,,,,,,,,,
Bahattin Çaloğlu,,,,,,,,,,,,,,,,,,Anavatan Partisi,,,,,,,,,
Bahattin Şeker,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,,,,Doğru Yol Partisi,,,
Bahri Bahadır,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Bahri Cömert,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,,
Bahri Dağdaş,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Bahri Karakeçili,,,,,,,,,,,,,,Adalet Partisi,,,,Adalet Partisi,,,,,,,,,
Bahri Sarıtepe,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Bahri Sipahi,,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,,,,,,
Bahri Turgut Okaygün,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,
Bahri Yazır,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,
Bahri Zengin,,,,,,,,,,,,,,,,,,,,Refah Partisi,Refah Partisi,,,,,,
Bahriye Üçok,,,,,,,,,,,,,,,,,Halkçı Parti,,,,,,,,,,
Bahtiyar Vural,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Baki Durmaz,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,,,,,,,,
Baki Şimşek,,,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi
Barbaros Turgut Boztepe,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Barlas Küntay,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,,,
Barış Atay Mengüllüoğlu,,,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi
Barış Aydın,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Barış Karadeniz,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi
Barış Yarkadaş,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,
Basri Coşkun,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Battal Köksaldı,,,,,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,
Bayar Ökten,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,
Bayraktaroğlu Halit Bayrak,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Bayram Ali Bayramoğlu,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,,
Bayram Ali Meral,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,
Bayram Ali Naci Gürün,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Bayram Fırat Dayanıklı,,,,,,,,,,,,,,,,,,,,Demokratik Sol Parti,Demokratik Sol Parti,,,,,,
Bayram Turan Çetin,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Bayram Yılmazkaya,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Bayram Özçelik,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Bayramali Meral,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,
Bedia Özgökçe Ertan,,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,Halkların Demokratik Partisi
Bedir Fırat,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,
Bediz Morova,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,
Bedrettin Dalan,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,,,,,,,,
Bedrettin Doğancan Akyürek,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,Anavatan Partisi,,,,,,,,
Bedrettin Göknil,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,,,
Bedrettin Karaerkek,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,,
Bedrettin Necati Tanyolaç,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Bedrettin Yıldırım,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,,,
Bedri Serter,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Bedri Yaşar,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket PartisiHakkâriMilletvekili27. Dönemİyi Parti,,,,,,Milliyetçi Hareket PartisiHakkâriMilletvekili27. Dönemİyi Parti
Behcet Kayaalp,,,,,,,,,,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Behice Hatko,,,,,,,,,,,,,Türkiye İşçi Partisi,,,,,,,,,,,,,,
Behiç Sadi Abbasoğlu,,,,,,,,,,,,,,,,,Anavatan Partisi,Anavatan Partisi,,,,,,,,,
Behiç Tozkoparan,,,,,,,,,,,,,,,Adalet Partisi,Adalet Partisi,,,,,,,,,,,
Behiç Çelik,,,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,Milliyetçi Hareket Partisi
Behram Öcal,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
Behzat Eğilli,,,,,,,,,,,,,,Adalet Partisi,,,,,,,,,,,,,
Behçet Kemal Çağlar,,,,,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,
Behçet Kutlu,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Behçet Yıldırım,,,,,,,,,,,,,,,,,,,,,,,,,Halkların Demokratik Partisi,Halkların Demokratik Partisi,
Bekir Adıbellı,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,
Bekir Aksoy,,,,,,,,,,,,,,,,,,,,Doğru Yol Partisi,Doğru Yol Partisi,,Doğru Yol Partisi,,,,
Bekir Başevirgen,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi
Bekir Bozdağ,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi,,Adalet ve Kalkınma Partisi,Adalet ve Kalkınma Partisi
Bekir Fikri Apaydın,,,,,,,,Demokrat Parti,Demokrat Parti,Demokrat Parti,Demokrat Parti,,,,,,,,,,,,,,,,
Bekir Gündoğan,,,,,,,,,,,,,,,,,,,,,Bağımsız,,,,,,
Bekir Hilmi Baydur,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,
Bekir Hâmid Pekcan,,,,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,
Bekir Kayalı,,,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Bekir Kocaoğlu,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Bekir Kumbul,,,,,,,,,,,,,,,,,,,,Cumhuriyet Halk Partisi,,,,,,,
Bekir Kunduk,,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,
Bekir Kuvvet Erim,,,,,,,,,,,,,,,,,,,,,,,,,,,Adalet ve Kalkınma Partisi
Bekir Lütfi Çiftçi,,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,
Bekir Necati Topçuoglu,,,,,,,,,,,Demokrat Parti,,,,,,,,,,,,,,,,
Bekir Ocak,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,,,,,,,,,,,
Bekir Ongun,,,,,,,,,,,,,,,,,,,,,Milliyetçi Hareket Partisi,,,,,,
Bekir Refik Koraltan,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,Cumhuriyet Halk Partisi,,,,,,,,,,,,,,,,
