speech_giver,political_party,terms
İbrahim Aydemir,Adalet ve Kalkınma Partisi,"[25, 26, 27]"
Necdet İpyekyüz,Halkların Demokratik Partisi,[27]
Yavuz Ağıralioğlu’’n,Büyük Birlik Partisi(1997-2011)Bağımsız(2011-2018)İYİ Parti(2018-2023)Bağımsız(2023-2024)Anahtar Parti(2024-günümüz),[27]
Zehra Taşkesenlioğlu Ban,Refah PartisiAdalet ve Kalkınma Partisi,"[26, 27]"
Emine Sare Aydın Yılmaz,,[]
Hakkı Saruhan Oluç;,Özgürlük ve Dayanışma Partisi(1996-2010)Eşitlik ve Demokrasi Partisi(2010-2011)Halkların Demokratik Partisi(2012-2023)Halkların Eşitlik ve Demokrasi Partisi(2023-günümüz),"[25, 27, 28]"
Ahmet Akay,,[]
Cahit Özkan’,Adalet ve Kalkınma Partisi,"[26, 27, 28]"
Lüftü Türkkan,Milliyetçi Hareket Partisi(2011-2017)İYİ Parti(2017-günümüz),"[24, 27, 28]"
Sepril Kemalbay Pekgözegü’n,Halkların Demokratik Partisi,[27]
Fatani Battal,Adalet ve Kalkınma Partisi,"[22, 23, 27]"
Serpil Kemalbay Pekgözegü’’n,Halkların Demokratik Partisi,[27]
Gamze Taşçıer,Cumhuriyet Halk Partisi(1999-günümüz),"[27, 28]"
Abdurrahman Tutdere’n,Cumhuriyet Halk Partisi(1998-günümüz),"[27, 28]"
Serdal Kuyucuoğlu’n,Cumhuriyet Halk Partisi,[26]
Kemalettin Yılmaztekin,Adalet ve Kalkınma Partisi,[26]
Murat Demir,Cumhuriyet Halk Partisi,"[25, 26, 27, 28]"
Oktay Vural’,Milliyetçi Hareket Partisi(1995-2023)İYİ Parti(2023-günümüz),"[21, 23, 24, 25, 26]"
Ahmet Yıldrırım,,[]
Sırrı Sakık,SHPHEPDEPHADEPDTPBDPHDPDEM,"[19, 23, 24, 28]"
Ertuğrul Kürkçü’n,Halkların Demokratik Partisi(2013-günümüz),"[24, 25, 26]"
Reşat Doğru’n,Milliyetçi Hareket Partisi,"[21, 23, 24]"
Ayşe Türkmenoğlu’n,,[23]
Ferit Mevlüt Aslanoğlu’n,,"[22, 23, 24]"
Adnan Keskin,Cumhuriyet Halk PartisiSosyaldemokrat Halkçı Parti,"[16, 18, 19, 20, 24]"
Mustafa Şahin,,[]
Kemal Kılıçdaroğlu’n,Cumhuriyet Halk Partisi(2002-günümüz),"[22, 23, 24, 25, 26, 27]"
Ahmet Ersin,,[]
Kamer Genc,Sosyaldemokrat Halkçı Parti(1987-1995)Doğru Yol Partisi(1995-2002)Bağımsız(2002-2010)Cumhuriyet Halk Partisi(2010-2016),"[18, 19, 20, 21, 23, 24]"
Tevfık Ziyaeddin Akbulut,,"[22, 23, 24]"
Enis Tütüncü’n,Sosyal Demokrasi PartisiSosyaldemokrat Halkçı PartiCumhuriyet Halk Partisi,"[18, 22, 23]"
Cemaleddin Uslu’n,Milliyetçi Hareket Partisi,[23]
Hasan Erçelebi,,[]
Ertuğrul Kumcuoğlu’n,Milliyetçi Hareket Partisi,"[21, 23]"
Kâmil Erdal Sipahi,,[23]
Hakkı Süha Okay,Cumhuriyet Halk Partisi,[23]
Osman Coşkunoğlu’n,,"[22, 23]"
Akın Birdal,,[]
